Team,Group,Previous appearances,Previous titles,Previous finals,Previous semifinals,Current rank
Mumbai Indians,A,12,4,5,8,1
Chennai Super Kings,A,10,3,8,10,2
Delhi Capitals,A,12,0,0,4,7
Kings XI Punjab ,A,12,0,1,2,6
Royal Challengers Bangalore,A,12,0,3,5,8
Kolkata Knight Riders,A,12,2,2,6,3
Sun Risers Hyderabad,A,7,1,2,5,4
Rajasthan Royals,A,10,1,1,4,5
