date,Team_1,Team_2,winner,Margin,Ground
2019-04-15,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,5 wickets,Mumbai
2019-04-18,Mumbai Indians,Delhi Capitals,Mumbai Indians,40 runs,Delhi
2019-04-26,Mumbai Indians,Chennai Super Kings,Mumbai Indians,46 runs,Chennai
2019-05-05,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,9 wickets,Mumbai
2019-06-04,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,40 runs,Hyderabad
2019-07-05,Chennai Super Kings,Mumbai Indians,Mumbai Indians,6 wickets,Chennai
2019-10-04,Kings XI Punjab,Mumbai Indians,Mumbai Indians,3 wickets,Mumbai
2019-12-05,Mumbai Indians,Chennai Super Kings,Mumbai Indians,1 runs,Hyderabad
2011-04-10,Kings XI Punjab,Pune Warriors,Pune Warriors,7 wickets,Mumbai
2011-04-13,Kochi Tuskers Kerala,Pune Warriors,Pune Warriors,4 wickets,Mumbai
2011-05-08,Kings XI Punjab,Pune Warriors,Pune Warriors,5 wickets,Chandigarh
2011-05-10,Deccan Chargers,Pune Warriors,Pune Warriors,6 wickets,Hyderabad
2012-04-06,Pune Warriors,Mumbai Indians,Pune Warriors,28 runs,Mumbai
2012-04-08,Pune Warriors,Kings XI Punjab,Pune Warriors,22 runs,Pune
2012-04-14,Chennai Super Kings,Pune Warriors,Pune Warriors,7 wickets,Pune
2012-04-21,Pune Warriors,Delhi Daredevils,Pune Warriors,20 runs,Delhi
2013-04-11,Rajasthan Royals,Pune Warriors,Pune Warriors,7 wickets,Pune
2013-04-15,Pune Warriors,Chennai Super Kings,Pune Warriors,24 runs,Chennai
2013-05-15,Pune Warriors,Kolkata Knight Riders,Pune Warriors,7 runs,Ranchi
2013-05-19,Pune Warriors,Delhi Daredevils,Pune Warriors,38 runs,Pune
2008-04-21,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,6 wickets,Jaipur
2008-04-24,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,3 wickets,Hyderabad
2008-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7 wickets,Bangalore
2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,45 runs,Jaipur
2008-05-04,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,8 wickets,Jaipur
2008-05-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,8 wickets,Jaipur
2008-05-11,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,3 wickets,Jaipur
2008-05-17,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,65 runs,Jaipur
2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,6 wickets,Kolkata
2008-05-24,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,10 runs,Chennai
2008-05-26,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,5 wickets,Jaipur
2008-05-30,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,105 runs,Mumbai
2008-06-01,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,3 wickets,Mumbai
2009-04-23,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0 runs,Cape Town
2009-04-28,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,5 wickets,Centurion
2009-05-02,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,3 wickets,Port Elizabeth
2009-05-05,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,78 runs,Durban
2009-05-07,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7 wickets,Centurion
2009-05-14,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,2 runs,Durban
2010-03-20,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,34 runs,Ahmedabad
2010-03-24,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,31 runs,Chandigarh
2010-03-26,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,8 wickets,Ahmedabad
2010-03-28,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,17 runs,Ahmedabad
2010-04-05,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,2 runs,Nagpur
2010-04-07,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,9 wickets,Jaipur
2011-04-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,8 wickets,Hyderabad
2011-04-12,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,6 wickets,Jaipur
2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,8 wickets,Jaipur
2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,7 wickets,Jaipur
2011-05-01,Pune Warriors,Rajasthan Royals,Rajasthan Royals,6 wickets,Jaipur
2011-05-20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,10 wickets,Mumbai
2012-04-06,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,31 runs,Jaipur
2012-04-08,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,22 runs,Jaipur
2012-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,59 runs,Bangalore
2012-04-17,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,5 wickets,Jaipur
2012-05-05,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,43 runs,Chandigarh
2012-05-08,Pune Warriors,Rajasthan Royals,Rajasthan Royals,7 wickets,Pune
2012-05-13,Rajasthan Royals,Pune Warriors,Rajasthan Royals,45 runs,Jaipur
2013-04-06,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,5 runs,Delhi
2013-04-08,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,19 runs,Jaipur
2013-04-14,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,6 wickets,Jaipur
2013-04-17,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,87 runs,Jaipur
2013-04-27,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,8 wickets,Jaipur
2013-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,4 wickets,Jaipur
2013-05-05,Pune Warriors,Rajasthan Royals,Rajasthan Royals,5 wickets,Jaipur
2013-05-07,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,9 wickets,Jaipur
2013-05-09,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,8 wickets,Chandigarh
2013-05-12,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,5 wickets,Jaipur
2013-05-22,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,4 wickets,Delhi
2014-04-18,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,4 wickets,Abu Dhabi
2014-04-26,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,6 wickets,Abu Dhabi
2014-04-29,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0 runs,Abu Dhabi
2014-05-03,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,7 wickets,Delhi
2014-05-05,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,10 runs,Ahmedabad
2014-05-11,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,5 wickets,Bangalore
2014-05-15,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,62 runs,Ahmedabad
2015-04-10,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,26 runs,Pune
2015-04-12,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,3 wickets,Delhi
2015-04-14,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,7 wickets,Ahmedabad
2015-04-16,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,6 wickets,Visakhapatnam
2015-04-19,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,8 wickets,Ahmedabad
2015-05-03,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,14 runs,Mumbai
2015-05-16,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,9 runs,Mumbai
2018-04-15,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,19 runs,Bengaluru
2018-04-22,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,3 wickets,Jaipur
2018-05-13,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,7 wickets,Mumbai
2018-05-19,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,30 runs,Jaipur
2018-08-05,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,15 runs,Jaipur
2018-11-04,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,10 runs,Jaipur
2018-11-05,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,4 wickets,Jaipur
2019-02-04,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,7 wickets,Jaipur
2019-04-13,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,4 wickets,Mumbai
2019-04-20,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,5 wickets,Jaipur
2019-04-25,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,3 wickets,Kolkata
2019-04-27,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,7 wickets,Jaipur
2017-04-06,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,7 wickets,Pune
2017-04-16,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,27 runs,Bangalore
2017-04-22,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,6 wickets,Pune
2017-04-24,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,3 runs,Mumbai
2017-04-29,Rising Pune Supergiant,Royal Challengers Bangalore,Rising Pune Supergiant,61 runs,Pune
2017-05-01,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,5 wickets,Pune
2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,4 wickets,Kolkata
2017-05-06,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,12 runs,Hyderabad
2017-05-14,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,9 wickets,Pune
2017-05-16,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,20 runs,Mumbai
2016-04-09,Mumbai Indians,Rising Pune Supergiants,Rising Pune Supergiants,9 wickets,Mumbai
2016-04-26,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,34 runs,Hyderabad
2016-05-05,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,7 wickets,Delhi
2016-05-17,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,19 runs,Visakhapatnam
2016-05-21,Kings XI Punjab,Rising Pune Supergiants,Rising Pune Supergiants,4 wickets,Visakhapatnam
2008-04-20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Mumbai
2008-05-03,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,3 runs,Bangalore
2008-05-21,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,14 runs,Chennai
2008-05-25,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Hyderabad
2009-04-18,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,75 runs,Cape Town
2009-04-29,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Durban
2009-05-01,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,8 runs,Durban
2009-05-03,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Johannesburg
2009-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Centurion
2009-05-14,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,2 wickets,Durban
2009-05-19,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Johannesburg
2009-05-21,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,12 runs,Centurion
2009-05-23,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Johannesburg
2010-03-16,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,8 wickets,Bangalore
2010-03-18,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,10 wickets,Bangalore
2010-03-20,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Mumbai
2010-03-23,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,36 runs,Bangalore
2010-04-02,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Chandigarh
2010-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Bangalore
2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Jaipur
2010-04-24,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Mumbai
2011-04-09,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Kochi
2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Kolkata
2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,3 wickets,Delhi
2011-04-29,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,26 runs,Bangalore
2011-05-06,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,85 runs,Bangalore
2011-05-08,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Bangalore
2011-05-11,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Jaipur
2011-05-14,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,4 wickets,Bangalore
2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,8 wickets,Bangalore
2011-05-27,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,43 runs,Chennai
2012-04-07,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,20 runs,Bangalore
2012-04-17,Pune Warriors,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Bangalore
2012-04-20,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Chandigarh
2012-04-23,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,46 runs,Jaipur
2012-05-06,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Bangalore
2012-05-09,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Mumbai
2012-05-11,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,35 runs,Pune
2012-05-17,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,21 runs,Delhi
2013-04-04,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,2 runs,Bangalore
2013-04-09,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Bangalore
2013-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,8 wickets,Bangalore
2013-04-16,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,0 runs,Bangalore
2013-04-20,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Bangalore
2013-04-23,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,130 runs,Bangalore
2013-05-02,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,17 runs,Pune
2013-05-10,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,4 runs,Delhi
2013-05-18,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,24 runs,Bangalore
2014-04-17,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,8 wickets,Sharjah
2014-04-19,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Bengaluru
2014-05-04,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,4 wickets,Bangalore
2014-05-13,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,16 runs,Bangalore
2014-05-18,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Ranchi
2015-04-11,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,3 wickets,Kolkata
2015-04-24,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Ahmedabad
2015-04-26,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,10 wickets,Delhi
2015-05-02,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Bangalore
2015-05-06,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,138 runs,Bangalore
2015-05-10,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,39 runs,Mumbai
2015-05-15,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Hyderabad
2015-05-20,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,71 runs,Pune
2016-04-12,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,45 runs,Bangalore
2016-04-22,Royal Challengers Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,13 runs,Pune
2016-05-07,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,7 wickets,Bangalore
2016-05-09,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,1 runs,Chandigarh
2016-05-14,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,144 runs,Bangalore
2016-05-16,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,9 wickets,Kolkata
2016-05-18,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,82 runs,Bangalore
2016-05-22,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Raipur
2016-05-24,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,4 wickets,Bangalore
2017-04-08,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,15 runs,Bangalore
2017-04-18,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,21 runs,Rajkot
2017-05-14,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,10 runs,Delhi
2018-01-05,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,14 runs,Bengaluru
2018-04-13,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,4 wickets,Bengaluru
2018-04-21,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,6 wickets,Bengaluru
2018-05-14,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,10 wickets,Indore
2018-05-17,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,14 runs,Bengaluru
2018-12-05,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,5 wickets,Delhi
2019-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,4 wickets,Bengaluru
2019-04-13,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,8 wickets,Mohali
2019-04-19,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,10 runs,Kolkata
2019-04-21,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,1 runs,Bengaluru
2019-04-24,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,17 runs,Bengaluru
2013-04-05,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,22 runs,Hyderabad
2013-04-07,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,0 runs,Hyderabad
2013-04-12,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,3 wickets,Delhi
2013-04-17,Sunrisers Hyderabad,Pune Warriors,Sunrisers Hyderabad,11 runs,Pune
2013-04-19,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Hyderabad
2013-05-01,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,7 wickets,Hyderabad
2013-05-04,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,6 wickets,Hyderabad
2013-05-11,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,30 runs,Chandigarh
2013-05-17,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,23 runs,Hyderabad
2013-05-19,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Hyderabad
2014-04-25,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,4 runs,Dubai
2014-04-30,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,15 runs,Dubai
2014-05-08,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,32 runs,Ahmedabad
2014-05-10,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,8 wickets,Delhi
2014-05-20,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,7 wickets,Hyderabad
2014-05-22,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6 wickets,Ranchi
2015-04-13,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,8 wickets,Bangalore
2015-04-22,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,16 runs,Visakhapatnam
2015-04-27,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,20 runs,Chandigarh
2015-05-02,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,22 runs,Hyderabad
2015-05-07,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,7 runs,Mumbai
2015-05-09,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,6 runs,Raipur
2015-05-11,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,5 runs,Hyderabad
2016-04-18,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,7 wickets,Hyderabad
2016-04-21,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,10 wickets,Rajkot
2016-04-23,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Hyderabad
2016-04-30,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,15 runs,Hyderabad
2016-05-06,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Hyderabad
2016-05-08,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,85 runs,Visakhapatnam
2016-05-10,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,4 runs,Visakhapatnam
2016-05-15,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,7 wickets,Chandigarh
2016-05-25,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,22 runs,Delhi
2016-05-27,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,4 wickets,Delhi
2016-05-29,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,8 runs,Bangalore
2017-04-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,35 runs,Hyderabad
2017-04-09,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,9 wickets,Hyderabad
2017-04-17,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,5 runs,Hyderabad
2017-04-19,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,15 runs,Hyderabad
2017-04-28,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,26 runs,Chandigarh
2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,48 runs,Hyderabad
2017-05-08,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,7 wickets,Hyderabad
2017-05-13,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,8 wickets,Kanpur
2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Kolkata
2018-04-24,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,31 runs,Mumbai
2018-04-26,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,13 runs,Hyderabad
2018-04-29,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,11 runs,Jaipur
2018-05-05,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,7 wickets,Hyderabad
2018-05-25,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,14 runs,Kolkata
2018-05-29,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Hyderabad
2018-05-31,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,118 runs,Hyderabad
2018-07-05,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,5 runs,Hyderabad
2018-09-04,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,9 wickets,Hyderabad
2018-10-05,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,9 wickets,Delhi
2018-12-04,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,1 wickets,Hyderabad
2019-04-04,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,5 wickets,Delhi
2019-04-17,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,6 wickets,Hyderabad
2019-04-21,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,9 wickets,Hyderabad
2019-04-29,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,45 runs,Hyderabad
2011-05-21,Delhi Daredevils,Pune Warriors,Pune Warriors,0 runs,Delhi
2015-04-29,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,0 runs,Bangalore
2015-05-17,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,0 runs,Bangalore
2019-04-30,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,0 runs,Bengaluru
